Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1980-12-08,,,999.756296,,1210.024087,1220.953906,,1205.566406,
1980-12-09,,,999.756296,,1208.819715,1220.953906,,1179.6875,
1980-12-10,,,999.756296,,1188.252733,1220.953906,,1130.859375,
1980-12-11,,,999.756296,,1179.914767,1220.953906,,1089.84375,
1980-12-12,,,999.756296,,1197.239207,1220.953906,,1099.121094,
1980-12-15,,,999.756296,,1199.277376,1220.953906,,1130.859375,
1980-12-16,,,999.756296,,1209.931443,1220.953906,,1095.703125,
1980-12-17,,,999.756296,,1231.146933,1220.953906,,1124.023438,
1980-12-18,,,999.756296,,1232.166018,1220.953906,,1120.117188,
1980-12-19,,,999.756296,,1238.651102,1220.953906,,1123.046875,
1980-12-22,,,999.756296,,1257.921067,1220.953906,,1161.621094,
1980-12-23,,,999.756296,,1253.474152,1220.953906,,1176.757813,
1980-12-24,,,999.756296,,1258.847508,1220.953906,,1176.757813,
1980-12-25,,,999.756296,,1258.847508,1220.953906,,1176.757813,
1980-12-26,,,999.756296,,1265.239948,1220.953906,,1176.757813,
1980-12-29,,,999.756296,,1250.972763,1220.953906,,1159.667969,
1980-12-30,,,999.756296,,1253.752084,1220.953906,,1151.855469,
1980-12-31,,,1027.051178,,1257.735779,1225.787568,,1151.855469,
1981-01-01,,,1027.051178,,1257.735779,1225.787568,,1151.855469,
1981-01-02,,,1027.051178,,1263.109135,1225.787568,,1151.855469,
1981-01-05,,,1027.051178,,1278.210117,1225.787568,,1166.992188,
1981-01-06,,,1027.051178,,1279.599778,1225.787568,,1170.410156,
1981-01-07,,,1027.051178,,1251.435983,1225.787568,,1142.578125,
1981-01-08,,,1027.051178,,1232.721883,1225.787568,,1122.558594,
1981-01-09,,,1027.051178,,1236.612933,1225.787568,,1128.417969,
1981-01-12,,,1027.051178,,1236.983509,1225.787568,,1097.65625,
1981-01-13,,,1027.051178,,1234.852696,1225.787568,,1099.121094,
1981-01-14,,,1027.051178,,1236.520289,1225.787568,,1086.914063,
1981-01-15,,,1027.051178,,1243.468594,1225.787568,,1116.210938,
1981-01-16,,,1027.051178,,1248.564017,1225.787568,,1095.214844,
1981-01-19,,,1027.051178,,1244.858255,1225.787568,,1106.933594,
1981-01-20,,,1027.051178,,1219.65907,1225.787568,,1097.65625,
1981-01-21,,,1027.051178,,1216.972392,1225.787568,,1128.90625,
1981-01-22,,,1027.051178,,1206.781545,1225.787568,,1101.5625,
1981-01-23,,,1027.051178,,1206.503613,1225.787568,,1080.078125,
1981-01-26,,,1027.051178,,1202.890495,1225.787568,,1032.226563,
1981-01-27,,,1027.051178,,1214.748935,1225.787568,,1023.4375,
1981-01-28,,,1027.051178,,1207.522698,1225.787568,,1022.460938,
1981-01-29,,,1027.051178,,1206.596257,1225.787568,,964.355469,
1981-01-30,,,1027.538587,,1200.203817,1207.658106,,989.257813,
1981-02-02,,,1027.538587,,1175.745785,1207.658106,,963.867188,
1981-02-03,,,1027.538587,,1190.105614,1207.658106,,949.707031,
1981-02-04,,,1027.538587,,1191.309987,1207.658106,,986.328125,
1981-02-05,,,1027.538587,,1200.944969,1207.658106,,973.632813,
1981-02-06,,,1027.538587,,1209.931443,1207.658106,,977.539063,
1981-02-09,,,1027.538587,,1197.609783,1207.658106,,1000.976563,
1981-02-10,,,1027.538587,,1197.331851,1207.658106,,1014.648438,
1981-02-11,,,1027.538587,,1188.067445,1207.658106,,978.515625,
1981-02-12,,,1027.538587,,1181.026496,1207.658106,,957.519531,
1981-02-13,,,1027.538587,,1176.394293,1207.658106,,959.960938,
1981-02-16,,,1027.538587,,1176.394293,1207.658106,,957.519531,
1981-02-17,,,1027.538587,,1184.08375,1207.658106,,978.027344,
1981-02-18,,,1027.538587,,1190.290902,1207.658106,,986.328125,
1981-02-19,,,1027.538587,,1172.966463,1207.658106,,982.910156,
1981-02-20,,,1027.538587,,1172.688531,1207.658106,,999.023438,
1981-02-23,,,1027.538587,,1179.822123,1207.658106,,979.492188,
